nuclide,original_nuclide,total_atom_number,total_activity_Bq,total_activity_GBq,is_stable,decay_constant,half_life,half_life_seconds
Sn118,Sn-118,30046436.85,0,0,稳定,0,稳定,inf
Kr83m,Kr-83m,29852036.37,3140.84014,3.14E-06,不稳定,0.000105214,1.83 小时,6588
Sb126,Sb-126,29712975.39,19.30149303,1.93E-08,不稳定,6.50E-07,12.35 天,1067040
Rh101,Rh101,27735748.67,0.184610637,1.85E-10,不稳定,6.66E-09,3.30 年,104137856.1
Gd156,Gd-156,26774751.15,0,0,稳定,0,稳定,inf
Zn64,Zn-64,26227132.27,0,0,稳定,0,稳定,inf
Zn72,Zn72,25788298.24,106.7806823,1.07E-07,不稳定,4.14E-06,1.94 天,167400
Ga69,Ga-69,25731094.63,0,0,稳定,0,稳定,inf
Pd103,Pd103,24797789.51,11.70862099,1.17E-08,不稳定,4.72E-07,16.99 天,1468022.4
Co58,Co58,24659025.58,2.791814006,2.79E-09,不稳定,1.13E-07,70.86 天,6122304
Te131,Te-131,23264439.95,10750.45397,1.08E-05,不稳定,0.000462098,25.00 分钟,1500
Fr223,Fr-223,22268309.32,11693.34532,1.17E-05,不稳定,0.000525112,22.00 分钟,1320
Nb97,Nb-97,21719538.13,3480.082436,3.48E-06,不稳定,0.000160228,1.20 小时,4326
Ga71,Ga-71,21565329.31,0,0,稳定,0,稳定,inf
Cr52,Cr-52,20094128.24,0,0,稳定,0,稳定,inf
Ru95,Ru95,19088490.19,2236.9536,2.24E-06,不稳定,0.000117189,1.64 小时,5914.8
Te133,Te-133,18990046.7,17550.52977,1.76E-05,不稳定,0.000924196,12.50 分钟,750
Br84,Br-84,18912559.4,6870.6432,6.87E-06,不稳定,0.000363285,31.80 分钟,1908
Ge77,Ge77,18754878.01,319.5646709,3.20E-07,不稳定,1.70E-05,11.30 小时,40680
Sb130,Sb130,18609227.48,5442.588,5.44E-06,不稳定,0.000292467,39.50 分钟,2370
Y94,Y-94,17514803.49,10820.2644,1.08E-05,不稳定,0.000617778,18.70 分钟,1122
Mn53,Mn-53,17241786.4,1.02E-07,1.02E-16,不稳定,5.94E-15,3702455.18 年,1.16761E+14
Dy162,Dy-162,17228837.13,0,0,稳定,0,稳定,inf
Sb131,Sb131,17220461.74,8638.236,8.64E-06,不稳定,0.000501626,23.03 分钟,1381.8
Gd158,Gd-158,17177143.63,0,0,稳定,0,稳定,inf
Nb91,Nb-91,17098011.1,0.00055229,5.52E-13,不稳定,3.23E-11,680.45 年,21458709734
Rb89,Rb-89,15617293.33,11908.782,1.19E-05,不稳定,0.000762538,15.15 分钟,909
Co55,Co55,15000958.64,164.7631392,1.65E-07,不稳定,1.10E-05,17.53 小时,63108
Eu157,Eu-157,12990746.13,164.7727099,1.65E-07,不稳定,1.27E-05,15.18 小时,54648
Se80,Se80,12942374.4,0,0,稳定,0,稳定,inf
As75,As-75,12835036.91,0,0,稳定,0,稳定,inf
Pd99,Pd99,12690321.83,6850.6704,6.85E-06,不稳定,0.000539834,21.40 分钟,1284
Rh97,Rh97,12149208.64,4571.764233,4.57E-06,不稳定,0.000376301,30.70 分钟,1842
Xe130,Xe-130,11980772.96,0,0,稳定,0,稳定,inf
Ag109,Ag-109,11874703.6,0,0,稳定,0,稳定,inf
Xe138,Xe138,11745316.25,9636.876,9.64E-06,不稳定,0.000820487,14.08 分钟,844.8
Tb159,Tb-159,11481426.34,0,0,稳定,0,稳定,inf
Tc99,Tc-99,11400379.32,1.19E-06,1.19E-15,不稳定,1.04E-13,211240.08 年,6.66167E+12
Sn121,Sn-121,11161682.51,79.50722202,7.95E-08,不稳定,7.12E-06,1.13 天,97308
Cu61,Cu61,10717981.43,619.1568,6.19E-07,不稳定,5.78E-05,3.33 小时,11998.8
As78,As-78,10663037.64,1358.1504,1.36E-06,不稳定,0.00012737,1.51 小时,5442
Kr87,Kr87,10553080.9,1597.824,1.60E-06,不稳定,0.000151408,1.27 小时,4578
Pr141,Pr-141,10264393.74,0,0,稳定,0,稳定,inf
Ge78,Ge78,10155438.6,1333.1844,1.33E-06,不稳定,0.000131278,1.47 小时,5280
Te126,Te-126,9114210.49,0,0,稳定,0,稳定,inf
Sn121m,Sn-121m,8811512.353,0.004408762,4.41E-12,不稳定,5.00E-10,43.93 年,1385349055
Co59,Co59,8628326.489,0,0,稳定,0,稳定,inf
Sm156,Sm156,8532020.506,174.7619964,1.75E-07,不稳定,2.05E-05,9.40 小时,33840
Tc94m,Tc-94m,8293435.301,1842.4908,1.84E-06,不稳定,0.000222163,52.00 分钟,3120
Ru94,Ru94,8261537.473,1842.4908,1.84E-06,不稳定,0.00022302,51.80 分钟,3108
Rb88,Rb-88,8038373.698,5222.8872,5.22E-06,不稳定,0.000649744,17.78 分钟,1066.8
Fe56,Fe-56,7884483.702,0,0,稳定,0,稳定,inf
Pd106,Pd-106,7874686.224,0,0,稳定,0,稳定,inf
Xe131m,Xe-131m,7859707.504,5.325573715,5.33E-09,不稳定,6.78E-07,11.84 天,1022976
Nd143,Nd-143,7807477.264,0,0,稳定,0,稳定,inf
Ga72,Ga-72,7721874.606,105.445146,1.05E-07,不稳定,1.37E-05,14.10 小时,50760
Ba141,Ba141,7659757.716,4843.404,4.84E-06,不稳定,0.000632318,18.27 分钟,1096.2
Mo96,Mo-96,7418144.617,0,0,稳定,0,稳定,inf
Ni64,Ni-64,7292136.267,0,0,稳定,0,稳定,inf
Ba142,Ba142,7009742.22,7639.596,7.64E-06,不稳定,0.001089854,10.60 分钟,636
Sb128m,Sb-128m,6877482.932,7639.596,7.64E-06,不稳定,0.001110813,10.40 分钟,624
Pd98,Pd98,6793459.385,4433.9616,4.43E-06,不稳定,0.000652681,17.70 分钟,1062
Sb123,Sb-123,6701458.223,0,0,稳定,0,稳定,inf
Se83,Se83,5985510.74,3100.7772,3.10E-06,不稳定,0.000518047,22.30 分钟,1338
Mo95,Mo-95,5752855.254,0,0,稳定,0,稳定,inf
I127,I-127,5372876.314,0,0,稳定,0,稳定,inf
Rh103,Rh-103,5337790.476,0,0,稳定,0,稳定,inf
Po215,Po-215,5069494.412,1972995934,1.972995934,不稳定,389.1898824,1.78e-03 秒,0.001781
Sr93,Sr93,4555882.934,7090.344,7.09E-06,不稳定,0.001556305,7.42 分钟,445.38
Sb130m,Sb-130m,4465695.931,8188.848,8.19E-06,不稳定,0.001833723,6.30 分钟,378
Mo102,Mo102,4390792.224,4488.8868,4.49E-06,不稳定,0.001022341,11.30 分钟,678
Cu65,Cu65,4374627.304,0,0,稳定,0,稳定,inf
Cs139,Cs139,4327212.678,5392.656,5.39E-06,不稳定,0.001246219,9.27 分钟,556.2
Pd104,Pd104,4314124.8,0,0,稳定,0,稳定,inf
Cs134,Cs134,4294359.669,0.04568264,4.57E-11,不稳定,1.06E-08,2.07 年,65158740.97
Zn65,Zn-65,4247052.554,0.13960557,1.40E-10,不稳定,3.29E-08,244.06 天,21086784
Mo93,Mo-93,4242798.616,2.33E-05,2.33E-14,不稳定,5.49E-12,4002.65 年,1.26228E+11
Te133m,Te-133m,4193096.799,874.3782262,8.74E-07,不稳定,0.000208528,55.40 分钟,3324
Zn66,Zn-66,4068018.799,0,0,稳定,0,稳定,inf
Rh98,Rh98,3760313.066,4993.2,4.99E-06,不稳定,0.001327868,8.70 分钟,522
Cd112,Cd-112,3687813.94,0,0,稳定,0,稳定,inf
Rh107,Rh-107,3620360.265,1927.3752,1.93E-06,不稳定,0.000532371,21.70 分钟,1302
Kr82,Kr-82,3406904.885,0,0,稳定,0,稳定,inf
Xe137,Xe137,3168413.857,9586.944,9.59E-06,不稳定,0.003025787,3.82 分钟,229.08
Kr89,Kr89,2927209.223,10735.38,1.07E-05,不稳定,0.003667445,3.15 分钟,189
Y95,Y95,2764608.1,3100.7772,3.10E-06,不稳定,0.001121597,10.30 分钟,618
Fe57,Fe-57,2683314.572,0,0,稳定,0,稳定,inf
Sn130,Sn130,2636887.121,8188.848,8.19E-06,不稳定,0.003105498,3.72 分钟,223.2
La143,La143,2620722.097,2132.0964,2.13E-06,不稳定,0.000813553,14.20 分钟,852
Rh96,Rh96,2532298.552,2954.97576,2.95E-06,不稳定,0.001166914,9.90 分钟,594
Y91m,Y-91m,2390316.606,555.5023188,5.56E-07,不稳定,0.000232397,49.71 分钟,2982.6
Tc105,Tc105,2361822.382,3590.1108,3.59E-06,不稳定,0.00152006,7.60 分钟,456
Tc104,Tc104,2349158.339,1482.9804,1.48E-06,不稳定,0.000631282,18.30 分钟,1098
Cd117,Cd-117,2297224.458,177.6343882,1.78E-07,不稳定,7.73E-05,2.49 小时,8964
Xe135m,Xe-135m,2266484.054,1712.455888,1.71E-06,不稳定,0.000755556,15.29 分钟,917.4
Cu60,Cu60,2171645.629,1058.5584,1.06E-06,不稳定,0.000487445,23.70 分钟,1422
Sn129,Sn129,1744569.153,9037.692,9.04E-06,不稳定,0.005180472,2.23 分钟,133.8
Se84,Se84,1728447.351,6441.228,6.44E-06,不稳定,0.003726598,3.10 分钟,186
Mo101,Mo101,1698663.078,1343.1708,1.34E-06,不稳定,0.000790722,14.61 分钟,876.6
Tc101,Tc-101,1669406.114,1358.1504,1.36E-06,不稳定,0.000813553,14.20 分钟,852
In117m,In-117m,1634983.144,162.5478996,1.63E-07,不稳定,9.94E-05,1.94 小时,6972
Gd159,Gd-159,1437478.518,14.97772519,1.50E-08,不稳定,1.04E-05,18.48 小时,66524.4
Cd115,Cd-115,1247600.852,4.493344,4.49E-09,不稳定,3.60E-06,2.23 天,192456
Fe58,Fe-58,1225723.222,0,0,稳定,0,稳定,inf
Nb96,Nb96,1210104.983,9.978358992,9.98E-09,不稳定,8.25E-06,23.35 小时,84060
Sb133,Sb133,1091355.229,5043.132,5.04E-06,不稳定,0.004620981,2.50 分钟,150
Fe52,Fe52,1072985.882,24.96599995,2.50E-08,不稳定,2.33E-05,8.28 小时,29790
Pd109,Pd-109,1065941.921,14.97951999,1.50E-08,不稳定,1.41E-05,13.70 小时,49324.32
Y87m,Y-87m,1037096.756,14.93519264,1.49E-08,不稳定,1.44E-05,13.37 小时,48132
Nd149,Nd149,1030688.845,114.8436,1.15E-07,不稳定,0.000111424,1.73 小时,6220.8
Cu64,Cu64,988052.6516,14.97956933,1.50E-08,不稳定,1.52E-05,12.70 小时,45720
Ru108,Ru108,979367.0548,2486.6136,2.49E-06,不稳定,0.002539001,4.55 分钟,273
Sr94,Sr94,976384.7376,8987.76,8.99E-06,不稳定,0.009205142,1.25 分钟,75.3
Nd152,Nd152,975606.7418,988.6536,9.89E-07,不稳定,0.001013373,11.40 分钟,684
I130,I130,961601.444,14.97957861,1.50E-08,不稳定,1.56E-05,12.36 小时,44496
Rh95,Rh95,950347.8113,2187.0216,2.19E-06,不稳定,0.002301285,5.02 分钟,301.2
Nb95m,Nb-95m,920748.9546,2.046189026,2.05E-09,不稳定,2.22E-06,3.61 天,311904
Br82,Br82,907219.9149,4.948354786,4.95E-09,不稳定,5.45E-06,1.47 天,127080
Pd97,Pd97,853504.6221,3180.6684,3.18E-06,不稳定,0.003726598,3.10 分钟,186
Nd151,Nd151,747377.3496,694.0548,6.94E-07,不稳定,0.000928654,12.44 分钟,746.4
Rb90,Rb90,731849.1296,3210.6276,3.21E-06,不稳定,0.004387007,2.63 分钟,158
Cs140,Cs140,633245.3648,6890.616,6.89E-06,不稳定,0.010881431,1.06 分钟,63.7
Ru107,Ru107,611050.8733,1882.4364,1.88E-06,不稳定,0.003080654,3.75 分钟,225
Ba137,Ba-137,606745.0916,0,0,稳定,0,稳定,inf
Cd117m,Cd-117m,559823.1274,32.08001177,3.21E-08,不稳定,5.73E-05,3.36 小时,12096
Pd112,Pd112,545174.9545,4.991367922,4.99E-09,不稳定,9.16E-06,21.03 小时,75708
Ag99,Ag99,498435.9803,2786.2056,2.79E-06,不稳定,0.005589897,2.07 分钟,124
Zr91,Zr-91,491480.9632,0,0,稳定,0,稳定,inf
Y90,Y-90,489008.7712,1.468863976,1.47E-09,不稳定,3.00E-06,2.67 天,230760
Rb81,Rb-81,473997.6341,19.94403917,1.99E-08,不稳定,4.21E-05,4.58 小时,16473.6
Br85,Br85,466278.8202,1857.4704,1.86E-06,不稳定,0.003983604,2.90 分钟,174
Rn218,Rn-218,408463.8844,8089302.566,0.008089303,不稳定,19.80420516,3.50e-02 秒,0.035
Mn55,Mn-55,399659.9687,0,0,稳定,0,稳定,inf
Fr222,Fr222,391573.934,318.56616,3.19E-07,不稳定,0.000813553,14.20 分钟,852
Pr147,Pr147,382255.2731,329.5512,3.30E-07,不稳定,0.000862123,13.40 分钟,804
Pm152,Pm-152,375737.3971,1053.5652,1.05E-06,不稳定,0.002803993,4.12 分钟,247.2
Te125,Te-125,356452.774,0,0,稳定,0,稳定,inf
Tc97m,Tc-97m,326057.7232,0.029032298,2.90E-11,不稳定,8.90E-08,90.10 天,7784640
Se81,Se81,311003.8238,194.7348,1.95E-07,不稳定,0.000626149,18.45 分钟,1107
Ce145,Ce145,304429.7592,1168.4088,1.17E-06,不稳定,0.003838024,3.01 分钟,180.6
Cu62,Cu62,280117.8224,334.5443999,3.35E-07,不稳定,0.001194299,9.67 分钟,580.38
Ga66,Ga66,246106.0009,4.993199878,4.99E-09,不稳定,2.03E-05,9.49 小时,34164
