nuclide,original_nuclide,total_atom_number,total_activity_Bq,total_activity_GBq,is_stable,decay_constant,half_life,half_life_seconds
Zr94,Zr-94,55569474704,0,0,稳定,0,稳定,inf
Ce142,Ce-142,48709278834,0,0,稳定,0,稳定,inf
Xe133,Xe-133,43677226795,66832.37837,6.68E-05,不稳定,1.53E-06,5.24 天,452995.2
Ba140,Ba-140,41838081526,26321.16916,2.63E-05,不稳定,6.29E-07,12.75 天,1101772.8
Pd102,Pd102,39318458990,0,0,稳定,0,稳定,inf
La139,La-139,35719182870,0,0,稳定,0,稳定,inf
Zr93,Zr-93,32769978481,0.000470452,4.70E-13,不稳定,1.44E-14,1531015.25 年,4.82821E+13
I131,I-131,29715276748,29722.08181,2.97E-05,不稳定,1.00E-06,8.02 天,692988.48
Xe132,Xe-132,28949007102,0,0,稳定,0,稳定,inf
Rh101m,Rh-101m,28824700263,53282.76934,5.33E-05,不稳定,1.85E-06,4.34 天,374976
Rn219,Rn-219,28147295370,4926822835,4.926822835,不稳定,0.175037167,3.96 秒,3.96
Sr89,Sr-89,27567365959,4376.809979,4.38E-06,不稳定,1.59E-07,50.53 天,4365792
Ce141,Ce-141,26583146453,6560.362711,6.56E-06,不稳定,2.47E-07,32.51 天,2808691.2
Ru102,Ru-102,26514892367,0,0,稳定,0,稳定,inf
Zr95,Zr-95,20633671718,2585.182267,2.59E-06,不稳定,1.25E-07,64.03 天,5532364.8
Mo97,Mo-97,19683268271,0,0,稳定,0,稳定,inf
Ru101,Ru-101,19349783648,0,0,稳定,0,稳定,inf
Te128,Te-128,19344758509,0,0,稳定,0,稳定,inf
Te132,Te132,18620311261,46623.63687,4.66E-05,不稳定,2.50E-06,3.20 天,276825.6
Ru98,Ru98,17677736599,0,0,稳定,0,稳定,inf
Pd108,Pd-108,16524496500,0,0,稳定,0,稳定,inf
Pd103,Pd103,16438210701,7761.529661,7.76E-06,不稳定,4.72E-07,16.99 天,1468022.4
Ru100,Ru-100,15320030135,0,0,稳定,0,稳定,inf
Zr92,Zr-92,14802692741,0,0,稳定,0,稳定,inf
Sr88,Sr-88,14205132617,0,0,稳定,0,稳定,inf
I133,I-133,14120559480,130710.8172,0.000130711,不稳定,9.26E-06,20.80 小时,74880
Pd107,Pd-107,12158251497,4.11E-05,4.11E-14,不稳定,3.38E-15,6504313.15 年,2.0512E+14
Zn64,Zn-64,11894865859,0,0,稳定,0,稳定,inf
Rh99,Rh99,11661479830,5810.847902,5.81E-06,不稳定,4.98E-07,16.10 天,1391040
Kr84,Kr-84,11307772663,0,0,稳定,0,稳定,inf
Sr90,Sr-90,10848107689,8.276430861,8.28E-09,不稳定,7.63E-10,28.81 年,908523901.8
Ru104,Ru-104,10106260246,0,0,稳定,0,稳定,inf
Ni60,Ni60,10065057572,0,0,稳定,0,稳定,inf
Ni61,Ni61,9418679875,0,0,稳定,0,稳定,inf
Ni62,Ni-62,8530067321,0,0,稳定,0,稳定,inf
Pr143,Pr-143,8383151558,4956.09005,4.96E-06,不稳定,5.91E-07,13.57 天,1172448
Ge70,Ge-70,8228491114,0,0,稳定,0,稳定,inf
Ge68,Ge-68,7963106394,235.7789783,2.36E-07,不稳定,2.96E-08,270.95 天,23410080
Ru96,Ru96,7935153586,0,0,稳定,0,稳定,inf
Pd100,Pd100,7717538910,17056.26446,1.71E-05,不稳定,2.21E-06,3.63 天,313632
Nd145,Nd-145,7196493359,0,0,稳定,0,稳定,inf
Pd104,Pd104,7164249365,0,0,稳定,0,稳定,inf
Cs133,Cs-133,6955436331,0,0,稳定,0,稳定,inf
Te129m,Te-129m,6751332484,1611.988494,1.61E-06,不稳定,2.39E-07,33.60 天,2903040
Sm152,Sm-152,6698708083,0,0,稳定,0,稳定,inf
Tc97,Tc-97,6482114079,5.48E-05,5.48E-14,不稳定,8.45E-15,2601725.26 年,8.2048E+13
Cu63,Cu63,5940331078,0,0,稳定,0,稳定,inf
Ru106,Ru106,5676336417,121.8946381,1.22E-07,不稳定,2.15E-08,1.02 年,32278176
Ru97,Ru97,5154001677,14257.98903,1.43E-05,不稳定,2.77E-06,2.90 天,250560
Nd148,Nd-148,4880352357,0,0,稳定,0,稳定,inf
Rh105,Rh-105,4835915149,26332.33527,2.63E-05,不稳定,5.45E-06,1.47 天,127296
Xe131,Xe-131,4792253922,0,0,稳定,0,稳定,inf
Zn65,Zn-65,4653164014,152.9549275,1.53E-07,不稳定,3.29E-08,244.06 天,21086784
Sb127,Sb-127,4580634399,9545.015088,9.55E-06,不稳定,2.08E-06,3.85 天,332640
Sn126,Sn126,4482375483,0.000428066,4.28E-13,不稳定,9.55E-14,230152.62 年,7.25809E+12
La140,La-140,4426803623,21163.33653,2.12E-05,不稳定,4.78E-06,1.68 天,144987.84
Ru99,Ru-99,4312588572,0,0,稳定,0,稳定,inf
Rb87,Rb-87,4310331425,1.92E-09,1.92E-18,不稳定,4.46E-19,49262667139.73 年,1.55E+18
Sm151,Sm-151,4112541114,1.003687492,1.00E-09,不稳定,2.44E-10,90.06 年,2840123347
Rh101,Rh101,3969968864,26.42432665,2.64E-08,不稳定,6.66E-09,3.30 年,104137856.1
Xe135,Xe-135,3837439878,80838.51908,8.08E-05,不稳定,2.11E-05,9.14 小时,32904
Mo99,Mo-99,3710139777,10833.38779,1.08E-05,不稳定,2.92E-06,2.75 天,237384
Pd101,Pd101,3319193843,75452.24497,7.55E-05,不稳定,2.27E-05,8.47 小时,30492
Fr223,Fr223,3157290987,1657929.807,0.00165793,不稳定,0.000525112,22.00 分钟,1320
Rb85,Rb-85,3101765124,0,0,稳定,0,稳定,inf
Rh100,Rh100,2735012510,25317.39062,2.53E-05,不稳定,9.26E-06,20.80 小时,74880
Rh103,Rh-103,2721101068,0,0,稳定,0,稳定,inf
Pd105,Pd-105,2702784188,0,0,稳定,0,稳定,inf
Ce143,Ce-143,2540898812,14807.5578,1.48E-05,不稳定,5.83E-06,1.38 天,118940.4
Ni59,Ni59,2322148560,0.000505009,5.05E-13,不稳定,2.17E-13,101067.02 年,3.18725E+12
I135,I135,2312071279,67757.724,6.78E-05,不稳定,2.93E-05,6.57 小时,23652
Y91,Y-91,2291617033,314.2126476,3.14E-07,不稳定,1.37E-07,58.51 天,5055264
Ce144,Ce144,2271682997,63.966377,6.40E-08,不稳定,2.82E-08,284.91 天,24616224
Zr97,Zr97,2167982369,24929.83998,2.49E-05,不稳定,1.15E-05,16.74 小时,60278.4
Y93,Y-93,2137343102,40424.94393,4.04E-05,不稳定,1.89E-05,10.18 小时,36648
Cu65,Cu65,2098955033,0,0,稳定,0,稳定,inf
Ce140,Ce-140,2026498490,0,0,稳定,0,稳定,inf
Ni64,Ni-64,2021370833,0,0,稳定,0,稳定,inf
Pb212,Pb-212,1942549690,35152.27758,3.52E-05,不稳定,1.81E-05,10.64 小时,38304
Sm154,Sm-154,1684842167,0,0,稳定,0,稳定,inf
Zn66,Zn-66,1666414588,0,0,稳定,0,稳定,inf
Rh99m,Rh-99m,1642356054,67280.99693,6.73E-05,不稳定,4.10E-05,4.70 小时,16920
Nd147,Nd-147,1560537790,1140.206909,1.14E-06,不稳定,7.31E-07,10.98 天,948672
Ga69,Ga-69,1533835659,0,0,稳定,0,稳定,inf
Sn125,Sn125,1492155679,1241.791895,1.24E-06,不稳定,8.32E-07,9.64 天,832896
Kr86,Kr86,1453860058,0,0,稳定,0,稳定,inf
Cs136,Cs136,1401859312,854.5948279,8.55E-07,不稳定,6.10E-07,13.16 天,1137024
Se78,Se-78,1382471783,0,0,稳定,0,稳定,inf
Co57,Co57,1264590342,37.3342996,3.73E-08,不稳定,2.95E-08,271.74 天,23478336
Eu153,Eu-153,1091409018,0,0,稳定,0,稳定,inf
Mo92,Mo-92,1057935149,0,0,稳定,0,稳定,inf
Nb95,Nb-95,1052350892,241.2770075,2.41E-07,不稳定,2.29E-07,34.99 天,3023222.4
Kr85,Kr-85,1020098146,2.083156669,2.08E-09,不稳定,2.04E-09,10.76 年,339426296.9
Ra222,Ra222,1015613188,18525510.99,0.018525511,不稳定,0.018240715,38.00 秒,38
Sn124,Sn124,1009505203,0,0,稳定,0,稳定,inf
Mo94,Mo-94,993969249.5,0,0,稳定,0,稳定,inf
Ni58,Ni58,949107456,0,0,稳定,0,稳定,inf
Gd157,Gd-157,915074611.6,0,0,稳定,0,稳定,inf
Te127m,Te-127m,901896749.6,66.38073279,6.64E-08,不稳定,7.36E-08,109.00 天,9417600
Sb129,Sb-129,895276081.4,39176.6472,3.92E-05,不稳定,4.38E-05,4.40 小时,15840
Pm151,Pm-151,844980861.8,5728.639495,5.73E-06,不稳定,6.78E-06,1.18 天,102240
Co59,Co59,819683929.8,0,0,稳定,0,稳定,inf
Eu156,Eu-156,811333319.1,428.5023976,4.29E-07,不稳定,5.28E-07,15.19 天,1312416
Co58,Co58,780869143.3,88.40744352,8.84E-08,不稳定,1.13E-07,70.86 天,6122304
Rh102,Rh102,767927664.2,29.7619708,2.98E-08,不稳定,3.88E-08,207.00 天,17884800
Xe133m,Xe-133m,734293137,2689.905809,2.69E-06,不稳定,3.66E-06,2.19 天,189216
Fr227,Fr227,733432955.2,3430344.029,0.003430344,不稳定,0.004677106,2.47 分钟,148.2
La141,La-141,711606831.3,34952.4,3.50E-05,不稳定,4.91E-05,3.92 小时,14112
Fr224,Fr224,676473384.7,2346824.922,0.002346825,不稳定,0.003469205,3.33 分钟,199.8
Eu155,Eu-155,636205510.7,2.935086411,2.94E-09,不稳定,4.61E-09,4.76 年,150245680.8
Sb125,Sb-125,620798254.9,4.943093455,4.94E-09,不稳定,7.96E-09,2.76 年,87051674.01
Ru105,Ru-105,613599068.9,26608.7628,2.66E-05,不稳定,4.34E-05,4.44 小时,15984
Co56,Co56,613563352.4,63.73604275,6.37E-08,不稳定,1.04E-07,77.23 天,6672672
Nd146,Nd-146,611123509.9,0,0,稳定,0,稳定,inf
Tc95,Tc-95,607520847.3,5848.630034,5.85E-06,不稳定,9.63E-06,20.00 小时,72000
I132,I-132,589817615.5,49483.22649,4.95E-05,不稳定,8.39E-05,2.29 小时,8262
Nb91,Nb-91,575266139.4,0.018581923,1.86E-11,不稳定,3.23E-11,680.45 年,21458709734
Ge71,Ge-71,563470266.7,395.4908974,3.95E-07,不稳定,7.02E-07,11.43 天,987552
I134,I-134,560708061.3,123381.972,0.000123382,不稳定,0.000220047,52.50 分钟,3150
Sm149,Sm-149,552697399.5,0,0,稳定,0,稳定,inf
Te131m,Te-131m,550733948.1,3534.626698,3.53E-06,不稳定,6.42E-06,1.25 天,108000
Pm147,Pm-147,541897864.6,4.537155814,4.54E-09,不稳定,8.37E-09,2.63 年,82786439.88
Y89,Y-89,515215212.4,0,0,稳定,0,稳定,inf
I129,I-129,506553161.6,7.09E-07,7.09E-16,不稳定,1.40E-15,15710417.92 年,4.95444E+14
Pb214,Pb-214,486992270.6,209923.7061,0.000209924,不稳定,0.000431062,26.80 分钟,1608
Ge69,Ge-69,452228523.9,2229.769002,2.23E-06,不稳定,4.93E-06,1.63 天,140580
La142,La-142,448365769.3,56857.5684,5.69E-05,不稳定,0.000126811,1.52 小时,5466
Ni63,Ni63,418430439.7,0.091816337,9.18E-11,不稳定,2.19E-10,100.17 年,3158848301
Fe55,Fe-55,408641239.1,3.279428477,3.28E-09,不稳定,8.03E-09,2.74 年,86371306.68
Sm153,Sm-153,407434210.8,1687.048235,1.69E-06,不稳定,4.14E-06,1.94 天,167400
Mo93,Mo-93,406884387.3,0.002234302,2.23E-12,不稳定,5.49E-12,4002.65 年,1.26228E+11
Ba136,Ba-136,401444854.4,0,0,稳定,0,稳定,inf
As71,As71,400388576.3,1180.930916,1.18E-06,不稳定,2.95E-06,2.72 天,235008
Te127,Te-127,373078948.1,7682.668479,7.68E-06,不稳定,2.06E-05,9.35 小时,33660
Zr88,Zr-88,366267602.7,35.23255786,3.52E-08,不稳定,9.62E-08,83.40 天,7205760
Br81,Br-81,365592164.1,0,0,稳定,0,稳定,inf
Co60,Co60,359151112.3,1.496546621,1.50E-09,不稳定,4.17E-09,5.27 年,166346024.4
Pd106,Pd-106,353926753.7,0,0,稳定,0,稳定,inf
Zr90,Zr-90,351399712.1,0,0,稳定,0,稳定,inf
Sn123,Sn123,351156972.6,21.80471935,2.18E-08,不稳定,6.21E-08,129.20 天,11162880
Po218,Po-218,340335506.6,1268293.532,0.001268294,不稳定,0.003726598,3.10 分钟,186
Y92,Y-92,327095889.1,17790.7716,1.78E-05,不稳定,5.44E-05,3.54 小时,12744
Se72,Se72,321620652.8,307.168277,3.07E-07,不稳定,9.55E-07,8.40 天,725760
Se79,Se-79,309157244.3,2.30E-05,2.30E-14,不稳定,7.45E-14,295195.75 年,9.30929E+12
Sn119,Sn-119,308773410.7,0,0,稳定,0,稳定,inf
Te134,Te134,301173414.5,83236.644,8.32E-05,不稳定,0.000276374,41.80 分钟,2508
Ba139,Ba-139,299874239.3,41708.1996,4.17E-05,不稳定,0.000139086,1.38 小时,4983.6
Tc99m,Tc-99m,294310302.1,9420.908658,9.42E-06,不稳定,3.20E-05,6.01 小时,21654
Cd114,Cd-114,281641883.6,0,0,稳定,0,稳定,inf
Pr145,Pr-145,268608384.2,8642.72988,8.64E-06,不稳定,3.22E-05,5.98 小时,21542.4
Zr89,Zr-89,260671254.1,640.0953139,6.40E-07,不稳定,2.46E-06,3.27 天,282276
Cu64,Cu64,259857847.4,3939.626733,3.94E-06,不稳定,1.52E-05,12.70 小时,45720
Sr91,Sr91,254481642.4,5088.07064,5.09E-06,不稳定,2.00E-05,9.63 小时,34668
Cs138,Cs-138,253242463,87565.7484,8.76E-05,不稳定,0.000345778,33.41 分钟,2004.6
Pm149,Pm-149,245881367.2,891.9030837,8.92E-07,不稳定,3.63E-06,2.21 天,191088
Sr92,Sr92,241438032.1,17476.2,1.75E-05,不稳定,7.24E-05,2.66 小时,9576
Kr88,Kr88,234944360.4,15928.308,1.59E-05,不稳定,6.78E-05,2.84 小时,10224
Se77,Se-77,232363284.1,0,0,稳定,0,稳定,inf
Cd116,Cd-116,213923136,0,0,稳定,0,稳定,inf
Ag109,Ag-109,210182253.7,0,0,稳定,0,稳定,inf
Zn67,Zn-67,204613106.3,0,0,稳定,0,稳定,inf
Gd156,Gd-156,188027939.6,0,0,稳定,0,稳定,inf
Sn118,Sn-118,186911447.5,0,0,稳定,0,稳定,inf
Te129,Te-129,182942337,30365.4131,3.04E-05,不稳定,0.000165984,1.16 小时,4176
Zn62,Zn62,179143179.2,3754.886349,3.75E-06,不稳定,2.10E-05,9.19 小时,33069.6
Cu61,Cu61,165437229.5,9556.9848,9.56E-06,不稳定,5.78E-05,3.33 小时,11998.8
Se74,Se74,161370109.6,0,0,稳定,0,稳定,inf
Gd158,Gd-158,160604813.3,0,0,稳定,0,稳定,inf
Nb97,Nb-97,158982667,25473.50609,2.55E-05,不稳定,0.000160228,1.20 小时,4326
Ni56,Ni56,156180672.7,206.249415,2.06E-07,不稳定,1.32E-06,6.08 天,524880
Kr83,Kr-83,156162271.7,0,0,稳定,0,稳定,inf
Ni57,Ni57,144652199.6,782.3444469,7.82E-07,不稳定,5.41E-06,1.48 天,128160
Tb159,Tb-159,139086479.5,0,0,稳定,0,稳定,inf
Sn122,Sn122,138051993.6,0,0,稳定,0,稳定,inf
Cd106,Cd-106,135263218.4,0,0,稳定,0,稳定,inf
Sb128,Sb-128,131568187,2811.571028,2.81E-06,不稳定,2.14E-05,9.01 小时,32436
Fe54,Fe54,130286569,0,0,稳定,0,稳定,inf
Pd99,Pd99,128956608.5,69615.1944,6.96E-05,不稳定,0.000539834,21.40 分钟,1284
Tc95m,Tc-95m,126841189.3,16.68177231,1.67E-08,不稳定,1.32E-07,61.00 天,5270400
Ag103,Ag-103,126505113.5,22244.20668,2.22E-05,不稳定,0.000175836,1.09 小时,3942
Cr52,Cr-52,124985477.6,0,0,稳定,0,稳定,inf
Te131,Te-131,122148300.2,56444.49994,5.64E-05,不稳定,0.000462098,25.00 分钟,1500
Sn127,Sn127,119593515.4,10965.0672,1.10E-05,不稳定,9.17E-05,2.10 小时,7560
Rb83,Rb-83,119262892.4,11.09966293,1.11E-08,不稳定,9.31E-08,86.20 天,7447680
Tc99,Tc-99,118335937.3,1.23E-05,1.23E-14,不稳定,1.04E-13,211240.08 年,6.66167E+12
Te133,Te-133,117718987.5,108795.4457,0.000108795,不稳定,0.000924196,12.50 分钟,750
Ag105,Ag105,111994969.3,21.76032365,2.18E-08,不稳定,1.94E-07,41.29 天,3567456
Mn53,Mn-53,111640567,6.63E-07,6.63E-16,不稳定,5.94E-15,3702455.18 年,1.16761E+14
Sn128,Sn128,109273660.4,21370.896,2.14E-05,不稳定,0.000195572,59.07 分钟,3544.2
Kr85m,Kr-85m,109084434.9,4688.217291,4.69E-06,不稳定,4.30E-05,4.48 小时,16128
Y94,Y-94,103836031.6,64147.6404,6.41E-05,不稳定,0.000617778,18.70 分钟,1122
Pr141,Pr-141,99229753.46,0,0,稳定,0,稳定,inf
Ga67,Ga67,96879538.08,238.3232125,2.38E-07,不稳定,2.46E-06,3.26 天,281767.68
Eu157,Eu-157,91958735.64,1166.391054,1.17E-06,不稳定,1.27E-05,15.18 小时,54648
Mn55,Mn-55,91230276.27,0,0,稳定,0,稳定,inf
Sb131,Sb131,86201848.95,43241.112,4.32E-05,不稳定,0.000501626,23.03 分钟,1381.8
Ge72,Ge-72,82737511.66,0,0,稳定,0,稳定,inf
Fe56,Fe-56,80446923.79,0,0,稳定,0,稳定,inf
Xe138,Xe138,78687533.23,64562.076,6.46E-05,不稳定,0.000820487,14.08 分钟,844.8
Sb130,Sb130,76997812.78,22519.332,2.25E-05,不稳定,0.000292467,39.50 分钟,2370
Ba137,Ba-137,76351982.24,0,0,稳定,0,稳定,inf
As77,As-77,75542367.97,374.5813616,3.75E-07,不稳定,4.96E-06,1.62 天,139788
Ga66,Ga66,72109058.26,1463.007564,1.46E-06,不稳定,2.03E-05,9.49 小时,34164
Br83,Br-83,71899260.49,5768.14464,5.77E-06,不稳定,8.02E-05,2.40 小时,8640
Mo95,Mo-95,71770720.87,0,0,稳定,0,稳定,inf
Dy162,Dy-162,71068953.15,0,0,稳定,0,稳定,inf
Sb126,Sb-126,70981000.24,46.10912449,4.61E-08,不稳定,6.50E-07,12.35 天,1067040
Sm156,Sm156,58505283.47,1198.367975,1.20E-06,不稳定,2.05E-05,9.40 小时,33840
Nd143,Nd-143,57319895.58,0,0,稳定,0,稳定,inf
Kr83m,Kr-83m,54738210.18,5759.204016,5.76E-06,不稳定,0.000105214,1.83 小时,6588
Ba141,Ba141,53381404.29,33754.032,3.38E-05,不稳定,0.000632318,18.27 分钟,1096.2
Ru95,Ru95,51215100.9,6001.8264,6.00E-06,不稳定,0.000117189,1.64 小时,5914.8
Sr85,Sr-85,49740741.42,6.154332652,6.15E-09,不稳定,1.24E-07,64.84 天,5602176
Sn121,Sn-121,49564530.54,353.0595079,3.53E-07,不稳定,7.12E-06,1.13 天,97308
Fe57,Fe-57,48724427.63,0,0,稳定,0,稳定,inf
Ba142,Ba142,47968628.13,52278.804,5.23E-05,不稳定,0.001089854,10.60 分钟,636
Xe131m,Xe-131m,46776615.89,31.69485836,3.17E-08,不稳定,6.78E-07,11.84 天,1022976
Mo96,Mo-96,45992496.63,0,0,稳定,0,稳定,inf
Ag101,Ag101,44982680.22,46816.2432,4.68E-05,不稳定,0.001040762,11.10 分钟,666
Rb89,Rb-89,44717189.15,34098.5628,3.41E-05,不稳定,0.000762538,15.15 分钟,909
As70,As70,43766698.71,9612.40932,9.61E-06,不稳定,0.000219628,52.60 分钟,3156
Fe58,Fe-58,43301258.48,0,0,稳定,0,稳定,inf
Y87m,Y-87m,40446773.46,582.4725129,5.82E-07,不稳定,1.44E-05,13.37 小时,48132
Zn68,Zn-68,40234827.8,0,0,稳定,0,稳定,inf
Rh97,Rh97,39900874.53,15014.75498,1.50E-05,不稳定,0.000376301,30.70 分钟,1842
Sn121m,Sn-121m,37399974.65,0.018712747,1.87E-11,不稳定,5.00E-10,43.93 年,1385349055
Rh103m,Rh-103m,36935779.95,7604.142678,7.60E-06,不稳定,0.000205875,56.11 分钟,3366.84
As72,As-72,36706762.11,271.8289387,2.72E-07,不稳定,7.41E-06,1.08 天,93600
Br84,Br-84,36065810.95,13102.1568,1.31E-05,不稳定,0.000363285,31.80 分钟,1908
Cu67,Cu67,35871914.96,111.7064564,1.12E-07,不稳定,3.11E-06,2.58 天,222588
Nb90,Nb90,34719312.33,457.8689774,4.58E-07,不稳定,1.32E-05,14.60 小时,52560
Ge74,Ge-74,34657346,0,0,稳定,0,稳定,inf
Rb81,Rb-81,34606567.26,1456.1143,1.46E-06,不稳定,4.21E-05,4.58 小时,16473.6
Co55,Co55,33956715.47,372.9638332,3.73E-07,不稳定,1.10E-05,17.53 小时,63108
Se70,Se70,32863839.54,9237.42,9.24E-06,不稳定,0.000281082,41.10 分钟,2466
Xe130,Xe-130,32787381.99,0,0,稳定,0,稳定,inf
Kr87,Kr87,32450723.77,4913.3088,4.91E-06,不稳定,0.000151408,1.27 小时,4578
Se80,Se80,30932274.82,0,0,稳定,0,稳定,inf
Te133m,Te-133m,30680183.51,6397.678308,6.40E-06,不稳定,0.000208528,55.40 分钟,3324
Cs139,Cs139,30330555.53,37798.524,3.78E-05,不稳定,0.001246219,9.27 分钟,556.2
Sr83,Sr-83,29660887.03,176.2089909,1.76E-07,不稳定,5.94E-06,1.35 天,116676
Mo102,Mo102,29543828.88,30203.8668,3.02E-05,不稳定,0.001022341,11.30 分钟,678
Ga71,Ga-71,29133915.18,0,0,稳定,0,稳定,inf
Zn72,Zn72,27007381.43,111.8284964,1.12E-07,不稳定,4.14E-06,1.94 天,167400
Mo98,Mo98,27006421.25,0,0,稳定,0,稳定,inf
Sm150,Sm-150,26571345.25,0,0,稳定,0,稳定,inf
Rh107,Rh-107,26451139.95,14081.82264,1.41E-05,不稳定,0.000532371,21.70 分钟,1302
Se75,Se-75,25981834.25,1.740206728,1.74E-09,不稳定,6.70E-08,119.78 天,10348905.6
Rb88,Rb-88,25744313.47,16727.22,1.67E-05,不稳定,0.000649744,17.78 分钟,1066.8
Rn223,Rn223,25270082.1,12013.63934,1.20E-05,不稳定,0.00047541,24.30 分钟,1458
Sr93,Sr93,24319431.44,37848.456,3.78E-05,不稳定,0.001556305,7.42 分钟,445.38
Sb130m,Sb-130m,23935041,43890.228,4.39E-05,不稳定,0.001833723,6.30 分钟,378
Gd160,Gd160,22476590.21,0,0,稳定,0,稳定,inf
Ge77,Ge77,22124895.15,376.9864477,3.77E-07,不稳定,1.70E-05,11.30 小时,40680
Ag102,Ag102,21882134.81,19596.30497,1.96E-05,不稳定,0.000895539,12.90 分钟,774
Te126,Te-126,21772861.39,0,0,稳定,0,稳定,inf
Y95,Y95,21150810.11,23722.6932,2.37E-05,不稳定,0.001121597,10.30 分钟,618
Tc94m,Tc-94m,20879678.58,4638.6828,4.64E-06,不稳定,0.000222163,52.00 分钟,3120
Ru94,Ru94,20799372.12,4638.6828,4.64E-06,不稳定,0.00022302,51.80 分钟,3108
Xe137,Xe137,20660698.69,62514.864,6.25E-05,不稳定,0.003025787,3.82 分钟,229.08
Cu60,Cu60,20405274.02,9946.4544,9.95E-06,不稳定,0.000487445,23.70 分钟,1422
Sb128m,Sb-128m,19238971.86,21370.896,2.14E-05,不稳定,0.001110813,10.40 分钟,624
Pd109,Pd-109,18867172.01,265.1375038,2.65E-07,不稳定,1.41E-05,13.70 小时,49324.32
In111,In-111,18325630.52,52.41845667,5.24E-08,不稳定,2.86E-06,2.80 天,242326.08
Sb123,Sb-123,18304675.26,0,0,稳定,0,稳定,inf
Sr86,Sr-86,18256358,0,0,稳定,0,稳定,inf
Tc104,Tc104,18168406.41,11469.3804,1.15E-05,不稳定,0.000631282,18.30 分钟,1098
Cr54,Cr54,17989900.42,0,0,稳定,0,稳定,inf
Sm144,Sm-144,17981537.48,0,0,稳定,0,稳定,inf
La143,La143,17780402.61,14465.3004,1.45E-05,不稳定,0.000813553,14.20 分钟,852
Gd159,Gd-159,17412657.47,181.4301885,1.81E-07,不稳定,1.04E-05,18.48 小时,66524.4
Sn117,Sn-117,16953358.85,0,0,稳定,0,稳定,inf
Tc105,Tc105,16552465.9,25160.7348,2.52E-05,不稳定,0.00152006,7.60 分钟,456
Ru103,Ru103,16491291.48,3.369892842,3.37E-09,不稳定,2.04E-07,39.26 天,3392064
Sb121,Sb-121,15863653.24,0,0,稳定,0,稳定,inf
Rh98,Rh98,15108937.9,20062.6776,2.01E-05,不稳定,0.001327868,8.70 分钟,522
Y88,Y-88,15078355.11,1.134239653,1.13E-09,不稳定,7.52E-08,106.65 天,9214560
Xe135m,Xe-135m,14858062.13,11226.09971,1.12E-05,不稳定,0.000755556,15.29 分钟,917.4
Sn130,Sn130,14133071.83,43890.228,4.39E-05,不稳定,0.003105498,3.72 分钟,223.2
Dy163,Dy-163,13476830.08,0,0,稳定,0,稳定,inf
As75,As-75,12835036.91,0,0,稳定,0,稳定,inf
As78,As-78,12789372.79,1628.981568,1.63E-06,不稳定,0.00012737,1.51 小时,5442
Y91m,Y-91m,12752526.81,2963.648497,2.96E-06,不稳定,0.000232397,49.71 分钟,2982.6
Po215,Po-215,12659151.75,4926813780,4.92681378,不稳定,389.1898824,1.78e-03 秒,0.001781
Mo101,Mo101,12433708.55,9831.6108,9.83E-06,不稳定,0.000790722,14.61 分钟,876.6
Ge78,Ge78,12178919.25,1598.82264,1.60E-06,不稳定,0.000131278,1.47 小时,5280
Tc101,Tc-101,12154381.26,9888.233688,9.89E-06,不稳定,0.000813553,14.20 分钟,852
